25,38
26,38
27,37
27,36
26,35
25,34
26,34
27,33
27,32
26,31
25,30
26,30
27,29
27,28
26,27
25,26
26,26
27,25
27,24
26,23
25,22
26,22
27,21
27,20
26,19
25,18
26,18
27,17
27,16
26,15
25,14
26,14
27,13
27,12
26,11
25,10
26,10
27,9
27,8
26,7
25,7
24,8
23,8
22,9
22,10
23,11
23,12
22,13
22,14
23,15
23,16
22,17
22,18
23,19
23,20
22,21
22,22
23,23
23,24
22,25
22,26
23,27
23,28
22,29
22,30
23,31
23,32
22,33
22,34
23,35
23,36
22,37
22,38
23,39
23,40
22,41
22,42
23,43
23,44
22,45
22,46
23,47
23,48
22,49
22,50
23,51
23,52
22,53
22,54
23,55
23,56
22,57
22,58
23,59
23,60
22,61
22,62
23,63
23,64
22,65
22,66
23,67
23,68
22,69
22,70
23,71
23,72
22,73
22,74
23,75
23,76
22,77
22,78
23,79
23,80
22,81
22,82
23,83
23,84
22,85
22,86
23,87
23,88
22,89
22,90
23,91
23,92
24,93
24,94
25,95
26,96
26,97
25,98
24,98
23,98
22,98
23,97
23,96
22,95
21,94
21,93
20,92
20,91
19,90
19,89
20,88
20,87
19,86
19,85
20,84
20,83
19,82
19,81
20,80
20,79
19,78
19,77
20,76
20,75
19,74
19,73
20,72
20,71
19,70
19,69
20,68
20,67
19,66
19,65
20,64
20,63
19,62
19,61
20,60
20,59
19,58
19,57
20,56
20,55
19,54
19,53
20,52
20,51
19,50
19,49
20,48
20,47
19,46
19,45
20,44
20,43
19,42
19,41
20,40
20,39
19,38
19,37
20,36
20,35
19,34
19,33
20,32
20,31
19,30
19,29
20,28
20,27
19,26
19,25
20,24
20,23
19,22
19,21
20,20
20,19
19,18
19,17
20,16
20,15
19,14
19,13
20,12
20,11
19,10
19,9
20,8
20,7
21,6
21,5
22,4
23,5
24,5
25,4
26,4
27,5
28,5
29,4
30,4
31,5
32,5
33,4
34,4
35,5
36,5
37,4
38,4
39,5
40,5
41,4
42,4
43,5
44,5
45,4
46,4
47,5
48,5
49,4
50,4
51,5
52,5
53,4
54,4
55,5
56,5
57,4
58,4
59,5
60,5
61,4
62,4
63,5
64,5
65,4
66,4
67,5
68,5
69,4
70,4
71,5
72,5
73,4
74,4
75,5
76,5
77,4
78,4
79,5
80,5
81,4
82,4
83,5
84,5
85,4
86,4
87,5
88,5
89,4
90,4
91,5
92,5
93,4
94,4
94,5
95,6
95,7
96,8
97,8
98,7
98,6
97,5
97,4
98,3
98,2
98,1
97,1
96,2
95,2
94,1
93,1
92,2
91,2
90,1
89,1
88,2
87,2
86,1
85,1
84,2
83,2
82,1
81,1
80,2
79,2
78,1
77,1
76,2
75,2
74,1
73,1
72,2
71,2
70,1
69,1
68,2
67,2
66,1
65,1
64,2
63,2
62,1
61,1
60,2
59,2
58,1
57,1
56,2
55,2
54,1
53,1
52,2
51,2
50,1
